 134 | 02/22/2012 | 09:33:09 | System Event #0x83 | Timestamp Clock Sync | Asserted
 135 | 02/22/2012 | 09:33:26 | System Event #0x83 | Timestamp Clock Sync | Asserted
 136 | 02/22/2012 | 09:33:55 | System Event #0x83 | OEM System boot event | Asserted
 137 | 02/24/2012 | 22:50:49 | System Event #0x83 | Timestamp Clock Sync | Asserted
 138 | 02/24/2012 | 22:50:49 | System Event #0x83 | Timestamp Clock Sync | Asserted
 139 | 02/24/2012 | 22:51:25 | System Event #0x83 | OEM System boot event | Asserted
 13a | 02/28/2012 | 09:37:24 | System Event #0x83 | Timestamp Clock Sync | Asserted
 13b | 02/28/2012 | 09:37:24 | System Event #0x83 | Timestamp Clock Sync | Asserted
 13c | 02/28/2012 | 09:38:02 | System Event #0x83 | OEM System boot event | Asserted
 13d | 03/01/2012 | 12:07:23 | System Event #0x83 | Timestamp Clock Sync | Asserted
 13e | 03/01/2012 | 12:07:23 | System Event #0x83 | Timestamp Clock Sync | Asserted
 13f | 03/01/2012 | 12:07:59 | System Event #0x83 | OEM System boot event | Asserted
 140 | 03/08/2012 | 10:31:52 | System Event #0x83 | Timestamp Clock Sync | Asserted
 141 | 03/08/2012 | 10:32:11 | System Event #0x83 | Timestamp Clock Sync | Asserted
 142 | 03/08/2012 | 10:32:40 | System Event #0x83 | OEM System boot event | Asserted
 143 | 03/15/2012 | 09:40:16 | Unknown #0x17 | 
 144 | 03/15/2012 | 09:40:17 | Unknown #0x17 | 
 145 | 03/15/2012 | 09:40:31 | Management Subsystem Health #0x10 | Sensor failure | Asserted
 146 | 03/15/2012 | 09:40:31 | Management Subsystem Health #0x10 | Sensor failure | Asserted
 147 | 03/15/2012 | 09:40:35 | Management Subsystem Health #0x10 | Sensor failure | Asserted
